t	x	u
1.400000	0.200000	0.601194
1.400000	0.300000	0.782871
1.400000	0.400000	0.967879
1.400000	0.500000	1.156570
1.400000	0.600000	1.349329
1.400000	0.700000	1.546585
1.400000	0.800000	1.748812
1.400000	0.900000	1.956531
1.400000	1.000000	2.170320
1.400000	1.100000	2.390818
1.400000	1.200000	2.618731
1.500000	0.000000	0.223130
1.500000	0.100000	0.406597
1.500000	0.200000	0.592532
1.500000	0.300000	0.781194
1.500000	0.400000	0.972871
1.500000	0.500000	1.167879
1.500000	0.600000	1.366570
1.500000	0.700000	1.569329
1.500000	0.800000	1.776585
1.500000	0.900000	1.988812
1.500000	1.000000	2.206531
1.500000	1.100000	2.430320
1.500000	1.200000	2.660818
1.600000	0.000000	0.201897
1.600000	0.100000	0.393130
1.600000	0.200000	0.586597
1.600000	0.300000	0.782532
1.600000	0.400000	0.981194
1.600000	0.500000	1.182871
1.600000	0.600000	1.387879
1.600000	0.700000	1.596570
1.600000	0.800000	1.809329
1.600000	0.900000	2.026585
1.600000	1.000000	2.248812
1.600000	1.100000	2.476531
1.600000	1.200000	2.710320
1.700000	0.000000	0.182684
1.700000	0.100000	0.381897
1.700000	0.200000	0.583130
1.700000	0.300000	0.786597
1.700000	0.400000	0.992532
1.700000	0.500000	1.201194
1.700000	0.600000	1.412871
1.700000	0.700000	1.627879
1.700000	0.800000	1.846570
1.700000	0.900000	2.069329
1.700000	1.000000	2.296585
1.700000	1.100000	2.528812
1.700000	1.200000	2.766531
1.800000	0.000000	0.165299
1.800000	0.100000	0.372684
1.800000	0.200000	0.581897
1.800000	0.300000	0.793130
1.800000	0.400000	1.006597
1.800000	0.500000	1.222532
1.800000	0.600000	1.441194
1.800000	0.700000	1.662871
1.800000	0.800000	1.887879
1.800000	0.900000	2.116570
1.800000	1.000000	2.349329
1.800000	1.100000	2.586585
1.800000	1.200000	2.828812
1.900000	0.000000	0.149569
1.900000	0.100000	0.365299
1.900000	0.200000	0.582684
1.900000	0.300000	0.801897
1.900000	0.400000	1.023130
1.900000	0.500000	1.246597
1.900000	0.600000	1.472532
1.900000	0.700000	1.701194
1.900000	0.800000	1.932871
1.900000	0.900000	2.167879
1.900000	1.000000	2.406570
1.900000	1.100000	2.649329
1.900000	1.200000	2.896585
2.000000	0.000000	0.135335
2.000000	0.100000	0.359569
2.000000	0.200000	0.585299
2.000000	0.300000	0.812684
2.000000	0.400000	1.041897
2.000000	0.500000	1.273130
2.000000	0.600000	1.506597
2.000000	0.700000	1.742532
2.000000	0.800000	1.981194
2.000000	0.900000	2.222871
2.000000	1.000000	2.467879
2.000000	1.100000	2.716570
2.000000	1.200000	2.969329
2.100000	0.000000	0.122456
2.100000	0.100000	0.355335
2.100000	0.200000	0.589569
2.100000	0.300000	0.825299
2.100000	0.400000	1.062684
2.100000	0.500000	1.301897
2.100000	0.600000	1.543130
2.100000	0.700000	1.786597
2.100000	0.800000	2.032532
2.100000	0.900000	2.281194
2.100000	1.000000	2.532871
2.100000	1.100000	2.787879
2.100000	1.200000	3.046570
2.200000	0.000000	0.110803
2.200000	0.100000	0.352456
2.200000	0.200000	0.595335
2.200000	0.300000	0.839569
2.200000	0.400000	1.085299
2.200000	0.500000	1.332684
2.200000	0.600000	1.581897
2.200000	0.700000	1.833130
2.200000	0.800000	2.086597
2.200000	0.900000	2.342532
2.200000	1.000000	2.601194
2.200000	1.100000	2.862871
2.200000	1.200000	3.127879
2.300000	0.000000	0.100259
2.300000	0.100000	0.350803
2.300000	0.200000	0.602456
2.300000	0.300000	0.855335
2.300000	0.400000	1.109569
2.300000	0.500000	1.365299
2.300000	0.600000	1.622684
2.300000	0.700000	1.881897
2.300000	0.800000	2.143130
2.300000	0.900000	2.406597
2.300000	1.000000	2.672532
2.300000	1.100000	2.941194
2.300000	1.200000	3.212871
2.400000	0.000000	0.090718
2.400000	0.100000	0.350259
2.400000	0.200000	0.610803
2.400000	0.300000	0.872456
2.400000	0.400000	1.135335
2.400000	0.500000	1.399569
2.400000	0.600000	1.665299
2.400000	0.700000	1.932684
2.400000	0.800000	2.201897
2.400000	0.900000	2.473130
2.400000	1.000000	2.746597
2.400000	1.100000	3.022532
2.400000	1.200000	3.301194
2.500000	0.000000	0.082085
2.500000	0.100000	0.350718
2.500000	0.200000	0.620259
2.500000	0.300000	0.890803
2.500000	0.400000	1.162456
2.500000	0.500000	1.435335
2.500000	0.600000	1.709569
2.500000	0.700000	1.985299
2.500000	0.800000	2.262684
2.500000	0.900000	2.541897
2.500000	1.000000	2.823130
2.500000	1.100000	3.106597
2.500000	1.200000	3.392532
2.600000	0.000000	0.074274
2.600000	0.100000	0.352085
2.600000	0.200000	0.630718
2.600000	0.300000	0.910259
2.600000	0.400000	1.190803
2.600000	0.500000	1.472456
2.600000	0.600000	1.755335
2.600000	0.700000	2.039569
2.600000	0.800000	2.325299
2.600000	0.900000	2.612684
2.600000	1.000000	2.901897
2.600000	1.100000	3.193130
2.600000	1.200000	3.486597
2.700000	0.000000	0.067206
2.700000	0.100000	0.354274
2.700000	0.200000	0.642085
2.700000	0.300000	0.930718
2.700000	0.400000	1.220259
2.700000	0.500000	1.510803
2.700000	0.600000	1.802456
2.700000	0.700000	2.095335
2.700000	0.800000	2.389569
2.700000	0.900000	2.685299
2.700000	1.000000	2.982684
2.700000	1.100000	3.281897
2.700000	1.200000	3.583130
2.800000	0.000000	0.060810
2.800000	0.100000	0.357206
2.800000	0.200000	0.654274
2.800000	0.300000	0.952085
2.800000	0.400000	1.250718
2.800000	0.500000	1.550259
2.800000	0.600000	1.850803
2.800000	0.700000	2.152456
2.800000	0.800000	2.455335
2.800000	0.900000	2.759569
2.800000	1.000000	3.065299
2.800000	1.100000	3.372684
2.800000	1.200000	3.681897
2.900000	0.000000	0.055023
2.900000	0.100000	0.360810
